domain,epoch,checkpoint,bootstrap_iter,bootstrap_seed,subset_size,sampled_case_ids,sampled_indices,kid
high,2,high_ep2.safetensors,1,42,16,high_01|high_02|high_03|high_04|high_05|high_06|high_09|high_10|high_12|high_13|high_14|high_16|high_17|high_18|high_19|high_20,0|1|2|3|4|5|8|9|11|12|13|15|16|17|18|19,0.024268168956041336
high,2,high_ep2.safetensors,2,42,16,high_03|high_04|high_05|high_06|high_07|high_08|high_09|high_10|high_11|high_13|high_14|high_15|high_16|high_17|high_19|high_20,2|3|4|5|6|7|8|9|10|12|13|14|15|16|18|19,0.016743939369916916
high,2,high_ep2.safetensors,3,42,16,high_01|high_02|high_03|high_05|high_06|high_08|high_10|high_11|high_12|high_13|high_14|high_15|high_16|high_17|high_19|high_20,0|1|2|4|5|7|9|10|11|12|13|14|15|16|18|19,0.023117277771234512
high,2,high_ep2.safetensors,4,42,16,high_01|high_02|high_04|high_05|high_06|high_07|high_08|high_09|high_10|high_11|high_12|high_13|high_16|high_18|high_19|high_20,0|1|3|4|5|6|7|8|9|10|11|12|15|17|18|19,0.022749222815036774
high,2,high_ep2.safetensors,5,42,16,high_01|high_02|high_03|high_05|high_06|high_07|high_08|high_09|high_10|high_11|high_12|high_13|high_17|high_18|high_19|high_20,0|1|2|4|5|6|7|8|9|10|11|12|16|17|18|19,0.025368664413690567
high,2,high_ep2.safetensors,6,42,16,high_02|high_03|high_04|high_05|high_06|high_08|high_09|high_10|high_11|high_12|high_14|high_16|high_17|high_18|high_19|high_20,1|2|3|4|5|7|8|9|10|11|13|15|16|17|18|19,0.026446368545293808
high,2,high_ep2.safetensors,7,42,16,high_01|high_02|high_03|high_04|high_05|high_06|high_08|high_10|high_11|high_12|high_13|high_14|high_15|high_16|high_17|high_18,0|1|2|3|4|5|7|9|10|11|12|13|14|15|16|17,0.02203032746911049
high,2,high_ep2.safetensors,8,42,16,high_01|high_02|high_04|high_06|high_07|high_08|high_09|high_10|high_11|high_12|high_13|high_16|high_17|high_18|high_19|high_20,0|1|3|5|6|7|8|9|10|11|12|15|16|17|18|19,0.024015991017222404
high,2,high_ep2.safetensors,9,42,16,high_01|high_02|high_03|high_04|high_05|high_06|high_08|high_09|high_10|high_12|high_14|high_16|high_17|high_18|high_19|high_20,0|1|2|3|4|5|7|8|9|11|13|15|16|17|18|19,0.02756412699818611
high,2,high_ep2.safetensors,10,42,16,high_01|high_02|high_03|high_04|high_05|high_06|high_08|high_09|high_10|high_13|high_14|high_15|high_16|high_17|high_18|high_19,0|1|2|3|4|5|7|8|9|12|13|14|15|16|17|18,0.02373705804347992
high,2,high_ep2.safetensors,11,42,16,high_02|high_03|high_04|high_05|high_06|high_07|high_08|high_09|high_11|high_13|high_14|high_15|high_16|high_17|high_18|high_20,1|2|3|4|5|6|7|8|10|12|13|14|15|16|17|19,0.021093979477882385
high,2,high_ep2.safetensors,12,42,16,high_01|high_04|high_06|high_07|high_08|high_09|high_10|high_11|high_12|high_13|high_14|high_15|high_16|high_18|high_19|high_20,0|3|5|6|7|8|9|10|11|12|13|14|15|17|18|19,0.0232889074832201
high,2,high_ep2.safetensors,13,42,16,high_01|high_02|high_03|high_05|high_07|high_08|high_09|high_10|high_13|high_14|high_15|high_16|high_17|high_18|high_19|high_20,0|1|2|4|6|7|8|9|12|13|14|15|16|17|18|19,0.020104648545384407
high,2,high_ep2.safetensors,14,42,16,high_01|high_02|high_05|high_06|high_07|high_08|high_09|high_10|high_11|high_12|high_13|high_14|high_15|high_17|high_18|high_20,0|1|4|5|6|7|8|9|10|11|12|13|14|16|17|19,0.022962043061852455
high,2,high_ep2.safetensors,15,42,16,high_01|high_02|high_04|high_05|high_06|high_08|high_09|high_11|high_12|high_13|high_14|high_15|high_16|high_17|high_19|high_20,0|1|3|4|5|7|8|10|11|12|13|14|15|16|18|19,0.02382510155439377
high,2,high_ep2.safetensors,16,42,16,high_01|high_02|high_04|high_05|high_06|high_07|high_08|high_10|high_11|high_12|high_13|high_14|high_15|high_17|high_18|high_19,0|1|3|4|5|6|7|9|10|11|12|13|14|16|17|18,0.02045476622879505
high,2,high_ep2.safetensors,17,42,16,high_01|high_02|high_04|high_05|high_06|high_07|high_08|high_09|high_10|high_11|high_12|high_13|high_15|high_17|high_19|high_20,0|1|3|4|5|6|7|8|9|10|11|12|14|16|18|19,0.021953539922833443
high,2,high_ep2.safetensors,18,42,16,high_02|high_03|high_04|high_05|high_06|high_07|high_08|high_09|high_10|high_11|high_13|high_14|high_15|high_18|high_19|high_20,1|2|3|4|5|6|7|8|9|10|12|13|14|17|18|19,0.023516729474067688
high,2,high_ep2.safetensors,19,42,16,high_02|high_03|high_04|high_06|high_07|high_08|high_09|high_10|high_11|high_12|high_13|high_14|high_17|high_18|high_19|high_20,1|2|3|5|6|7|8|9|10|11|12|13|16|17|18|19,0.026829194277524948
high,2,high_ep2.safetensors,20,42,16,high_02|high_04|high_05|high_06|high_07|high_08|high_09|high_10|high_11|high_12|high_13|high_14|high_15|high_16|high_17|high_18,1|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,0.02239818312227726
high,2,high_ep2.safetensors,21,42,16,high_03|high_04|high_05|high_06|high_07|high_09|high_10|high_11|high_12|high_13|high_14|high_15|high_16|high_18|high_19|high_20,2|3|4|5|6|8|9|10|11|12|13|14|15|17|18|19,0.021951938048005104
high,2,high_ep2.safetensors,22,42,16,high_02|high_03|high_05|high_06|high_07|high_09|high_10|high_11|high_12|high_14|high_15|high_16|high_17|high_18|high_19|high_20,1|2|4|5|6|8|9|10|11|13|14|15|16|17|18|19,0.022252561524510384
high,2,high_ep2.safetensors,23,42,16,high_01|high_02|high_03|high_04|high_05|high_07|high_08|high_09|high_11|high_12|high_13|high_14|high_16|high_18|high_19|high_20,0|1|2|3|4|6|7|8|10|11|12|13|15|17|18|19,0.025424379855394363
high,2,high_ep2.safetensors,24,42,16,high_01|high_02|high_04|high_05|high_06|high_07|high_09|high_10|high_11|high_12|high_14|high_15|high_17|high_18|high_19|high_20,0|1|3|4|5|6|8|9|10|11|13|14|16|17|18|19,0.022465219721198082
high,2,high_ep2.safetensors,25,42,16,high_02|high_03|high_04|high_05|high_06|high_07|high_08|high_10|high_11|high_13|high_14|high_15|high_16|high_17|high_19|high_20,1|2|3|4|5|6|7|9|10|12|13|14|15|16|18|19,0.017557252198457718
high,2,high_ep2.safetensors,26,42,16,high_01|high_02|high_03|high_04|high_06|high_07|high_08|high_09|high_10|high_11|high_12|high_13|high_15|high_17|high_18|high_20,0|1|2|3|5|6|7|8|9|10|11|12|14|16|17|19,0.027503497898578644
high,2,high_ep2.safetensors,27,42,16,high_01|high_03|high_06|high_07|high_08|high_09|high_11|high_12|high_13|high_14|high_15|high_16|high_17|high_18|high_19|high_20,0|2|5|6|7|8|10|11|12|13|14|15|16|17|18|19,0.023279959335923195
high,2,high_ep2.safetensors,28,42,16,high_02|high_04|high_05|high_06|high_07|high_08|high_09|high_10|high_11|high_13|high_14|high_15|high_16|high_17|high_19|high_20,1|3|4|5|6|7|8|9|10|12|13|14|15|16|18|19,0.017763420939445496
high,2,high_ep2.safetensors,29,42,16,high_01|high_04|high_05|high_06|high_07|high_08|high_09|high_10|high_11|high_12|high_13|high_15|high_16|high_17|high_19|high_20,0|3|4|5|6|7|8|9|10|11|12|14|15|16|18|19,0.01749597117304802
high,2,high_ep2.safetensors,30,42,16,high_01|high_02|high_03|high_05|high_06|high_07|high_08|high_09|high_12|high_13|high_14|high_15|high_16|high_17|high_18|high_20,0|1|2|4|5|6|7|8|11|12|13|14|15|16|17|19,0.02535395883023739
high,2,high_ep2.safetensors,31,42,16,high_01|high_02|high_04|high_05|high_06|high_07|high_08|high_10|high_11|high_12|high_14|high_15|high_16|high_18|high_19|high_20,0|1|3|4|5|6|7|9|10|11|13|14|15|17|18|19,0.020799269899725914
high,2,high_ep2.safetensors,32,42,16,high_01|high_02|high_03|high_04|high_05|high_06|high_07|high_08|high_09|high_10|high_11|high_12|high_13|high_17|high_18|high_20,0|1|2|3|4|5|6|7|8|9|10|11|12|16|17|19,0.0255306214094162
high,2,high_ep2.safetensors,33,42,16,high_01|high_02|high_04|high_06|high_08|high_09|high_10|high_11|high_12|high_13|high_15|high_16|high_17|high_18|high_19|high_20,0|1|3|5|7|8|9|10|11|12|14|15|16|17|18|19,0.027302300557494164
high,2,high_ep2.safetensors,34,42,16,high_01|high_03|high_04|high_06|high_07|high_08|high_09|high_10|high_11|high_12|high_13|high_14|high_15|high_16|high_17|high_19,0|2|3|5|6|7|8|9|10|11|12|13|14|15|16|18,0.023671381175518036
high,2,high_ep2.safetensors,35,42,16,high_01|high_02|high_03|high_04|high_05|high_06|high_08|high_09|high_11|high_13|high_14|high_15|high_16|high_17|high_18|high_20,0|1|2|3|4|5|7|8|10|12|13|14|15|16|17|19,0.02087033912539482
high,2,high_ep2.safetensors,36,42,16,high_02|high_03|high_04|high_05|high_07|high_08|high_09|high_10|high_11|high_12|high_13|high_14|high_15|high_16|high_19|high_20,1|2|3|4|6|7|8|9|10|11|12|13|14|15|18|19,0.024961641058325768
high,2,high_ep2.safetensors,37,42,16,high_01|high_02|high_03|high_04|high_05|high_06|high_07|high_08|high_10|high_11|high_12|high_13|high_16|high_18|high_19|high_20,0|1|2|3|4|5|6|7|9|10|11|12|15|17|18|19,0.02306687831878662
high,2,high_ep2.safetensors,38,42,16,high_01|high_02|high_03|high_06|high_07|high_09|high_10|high_11|high_12|high_13|high_14|high_15|high_16|high_17|high_19|high_20,0|1|2|5|6|8|9|10|11|12|13|14|15|16|18|19,0.023958247154951096
high,2,high_ep2.safetensors,39,42,16,high_01|high_02|high_03|high_04|high_07|high_08|high_09|high_10|high_11|high_12|high_13|high_14|high_16|high_17|high_19|high_20,0|1|2|3|6|7|8|9|10|11|12|13|15|16|18|19,0.023151392117142677
high,2,high_ep2.safetensors,40,42,16,high_02|high_03|high_04|high_05|high_06|high_07|high_08|high_09|high_10|high_12|high_14|high_15|high_16|high_18|high_19|high_20,1|2|3|4|5|6|7|8|9|11|13|14|15|17|18|19,0.028648318722844124
high,2,high_ep2.safetensors,41,42,16,high_01|high_02|high_03|high_04|high_06|high_07|high_08|high_09|high_11|high_12|high_13|high_14|high_15|high_16|high_18|high_20,0|1|2|3|5|6|7|8|10|11|12|13|14|15|17|19,0.027294263243675232
high,2,high_ep2.safetensors,42,42,16,high_02|high_04|high_05|high_06|high_07|high_08|high_09|high_10|high_11|high_13|high_14|high_15|high_16|high_17|high_19|high_20,1|3|4|5|6|7|8|9|10|12|13|14|15|16|18|19,0.017763426527380943
high,2,high_ep2.safetensors,43,42,16,high_01|high_03|high_04|high_05|high_07|high_08|high_09|high_10|high_11|high_12|high_13|high_14|high_15|high_16|high_17|high_19,0|2|3|4|6|7|8|9|10|11|12|13|14|15|16|18,0.019825128838419914
high,2,high_ep2.safetensors,44,42,16,high_01|high_02|high_03|high_05|high_06|high_07|high_08|high_09|high_11|high_12|high_13|high_14|high_15|high_16|high_18|high_20,0|1|2|4|5|6|7|8|10|11|12|13|14|15|17|19,0.02536165714263916
high,2,high_ep2.safetensors,45,42,16,high_01|high_02|high_03|high_04|high_05|high_06|high_07|high_08|high_09|high_10|high_12|high_13|high_14|high_17|high_18|high_20,0|1|2|3|4|5|6|7|8|9|11|12|13|16|17|19,0.025660717859864235
high,2,high_ep2.safetensors,46,42,16,high_01|high_02|high_03|high_04|high_07|high_08|high_09|high_11|high_12|high_13|high_14|high_15|high_16|high_17|high_19|high_20,0|1|2|3|6|7|8|10|11|12|13|14|15|16|18|19,0.025206129997968674
high,2,high_ep2.safetensors,47,42,16,high_02|high_03|high_05|high_06|high_07|high_09|high_10|high_11|high_12|high_13|high_14|high_15|high_16|high_18|high_19|high_20,1|2|4|5|6|8|9|10|11|12|13|14|15|17|18|19,0.0250698272138834
high,2,high_ep2.safetensors,48,42,16,high_01|high_02|high_04|high_05|high_06|high_07|high_08|high_09|high_10|high_12|high_13|high_16|high_17|high_18|high_19|high_20,0|1|3|4|5|6|7|8|9|11|12|15|16|17|18|19,0.024392960593104362
high,2,high_ep2.safetensors,49,42,16,high_01|high_02|high_03|high_04|high_05|high_06|high_08|high_09|high_10|high_11|high_13|high_14|high_15|high_16|high_18|high_19,0|1|2|3|4|5|7|8|9|10|12|13|14|15|17|18,0.022654863074421883
high,2,high_ep2.safetensors,50,42,16,high_01|high_02|high_03|high_04|high_06|high_07|high_08|high_11|high_12|high_13|high_14|high_15|high_16|high_17|high_18|high_20,0|1|2|3|5|6|7|10|11|12|13|14|15|16|17|19,0.023665986955165863
high,4,high_ep4.safetensors,1,42,16,high_01|high_02|high_03|high_04|high_05|high_06|high_09|high_10|high_12|high_13|high_14|high_16|high_17|high_18|high_19|high_20,0|1|2|3|4|5|8|9|11|12|13|15|16|17|18|19,0.013134227134287357
high,4,high_ep4.safetensors,2,42,16,high_03|high_04|high_05|high_06|high_07|high_08|high_09|high_10|high_11|high_13|high_14|high_15|high_16|high_17|high_19|high_20,2|3|4|5|6|7|8|9|10|12|13|14|15|16|18|19,0.0171846654266119
high,4,high_ep4.safetensors,3,42,16,high_01|high_02|high_03|high_05|high_06|high_08|high_10|high_11|high_12|high_13|high_14|high_15|high_16|high_17|high_19|high_20,0|1|2|4|5|7|9|10|11|12|13|14|15|16|18|19,0.023655636236071587
high,4,high_ep4.safetensors,4,42,16,high_01|high_02|high_04|high_05|high_06|high_07|high_08|high_09|high_10|high_11|high_12|high_13|high_16|high_18|high_19|high_20,0|1|3|4|5|6|7|8|9|10|11|12|15|17|18|19,0.008597404696047306
high,4,high_ep4.safetensors,5,42,16,high_01|high_02|high_03|high_05|high_06|high_07|high_08|high_09|high_10|high_11|high_12|high_13|high_17|high_18|high_19|high_20,0|1|2|4|5|6|7|8|9|10|11|12|16|17|18|19,0.019028175622224808
high,4,high_ep4.safetensors,6,42,16,high_02|high_03|high_04|high_05|high_06|high_08|high_09|high_10|high_11|high_12|high_14|high_16|high_17|high_18|high_19|high_20,1|2|3|4|5|7|8|9|10|11|13|15|16|17|18|19,0.02043144218623638
high,4,high_ep4.safetensors,7,42,16,high_01|high_02|high_03|high_04|high_05|high_06|high_08|high_10|high_11|high_12|high_13|high_14|high_15|high_16|high_17|high_18,0|1|2|3|4|5|7|9|10|11|12|13|14|15|16|17,0.015121147967875004
high,4,high_ep4.safetensors,8,42,16,high_01|high_02|high_04|high_06|high_07|high_08|high_09|high_10|high_11|high_12|high_13|high_16|high_17|high_18|high_19|high_20,0|1|3|5|6|7|8|9|10|11|12|15|16|17|18|19,0.010302670300006866
high,4,high_ep4.safetensors,9,42,16,high_01|high_02|high_03|high_04|high_05|high_06|high_08|high_09|high_10|high_12|high_14|high_16|high_17|high_18|high_19|high_20,0|1|2|3|4|5|7|8|9|11|13|15|16|17|18|19,0.01993701606988907
high,4,high_ep4.safetensors,10,42,16,high_01|high_02|high_03|high_04|high_05|high_06|high_08|high_09|high_10|high_13|high_14|high_15|high_16|high_17|high_18|high_19,0|1|2|3|4|5|7|8|9|12|13|14|15|16|17|18,0.01648413948714733
high,4,high_ep4.safetensors,11,42,16,high_02|high_03|high_04|high_05|high_06|high_07|high_08|high_09|high_11|high_13|high_14|high_15|high_16|high_17|high_18|high_20,1|2|3|4|5|6|7|8|10|12|13|14|15|16|17|19,0.009830734692513943
high,4,high_ep4.safetensors,12,42,16,high_01|high_04|high_06|high_07|high_08|high_09|high_10|high_11|high_12|high_13|high_14|high_15|high_16|high_18|high_19|high_20,0|3|5|6|7|8|9|10|11|12|13|14|15|17|18|19,0.014441699720919132
high,4,high_ep4.safetensors,13,42,16,high_01|high_02|high_03|high_05|high_07|high_08|high_09|high_10|high_13|high_14|high_15|high_16|high_17|high_18|high_19|high_20,0|1|2|4|6|7|8|9|12|13|14|15|16|17|18|19,0.019776934757828712
high,4,high_ep4.safetensors,14,42,16,high_01|high_02|high_05|high_06|high_07|high_08|high_09|high_10|high_11|high_12|high_13|high_14|high_15|high_17|high_18|high_20,0|1|4|5|6|7|8|9|10|11|12|13|14|16|17|19,0.014959173277020454
high,4,high_ep4.safetensors,15,42,16,high_01|high_02|high_04|high_05|high_06|high_08|high_09|high_11|high_12|high_13|high_14|high_15|high_16|high_17|high_19|high_20,0|1|3|4|5|7|8|10|11|12|13|14|15|16|18|19,0.01632864400744438
high,4,high_ep4.safetensors,16,42,16,high_01|high_02|high_04|high_05|high_06|high_07|high_08|high_10|high_11|high_12|high_13|high_14|high_15|high_17|high_18|high_19,0|1|3|4|5|6|7|9|10|11|12|13|14|16|17|18,0.013571374118328094
high,4,high_ep4.safetensors,17,42,16,high_01|high_02|high_04|high_05|high_06|high_07|high_08|high_09|high_10|high_11|high_12|high_13|high_15|high_17|high_19|high_20,0|1|3|4|5|6|7|8|9|10|11|12|14|16|18|19,0.014556679874658585
high,4,high_ep4.safetensors,18,42,16,high_02|high_03|high_04|high_05|high_06|high_07|high_08|high_09|high_10|high_11|high_13|high_14|high_15|high_18|high_19|high_20,1|2|3|4|5|6|7|8|9|10|12|13|14|17|18|19,0.01132189016789198
high,4,high_ep4.safetensors,19,42,16,high_02|high_03|high_04|high_06|high_07|high_08|high_09|high_10|high_11|high_12|high_13|high_14|high_17|high_18|high_19|high_20,1|2|3|5|6|7|8|9|10|11|12|13|16|17|18|19,0.010777490213513374
high,4,high_ep4.safetensors,20,42,16,high_02|high_04|high_05|high_06|high_07|high_08|high_09|high_10|high_11|high_12|high_13|high_14|high_15|high_16|high_17|high_18,1|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,0.014327018521726131
high,4,high_ep4.safetensors,21,42,16,high_03|high_04|high_05|high_06|high_07|high_09|high_10|high_11|high_12|high_13|high_14|high_15|high_16|high_18|high_19|high_20,2|3|4|5|6|8|9|10|11|12|13|14|15|17|18|19,0.016518525779247284
high,4,high_ep4.safetensors,22,42,16,high_02|high_03|high_05|high_06|high_07|high_09|high_10|high_11|high_12|high_14|high_15|high_16|high_17|high_18|high_19|high_20,1|2|4|5|6|8|9|10|11|13|14|15|16|17|18|19,0.02466997317969799
high,4,high_ep4.safetensors,23,42,16,high_01|high_02|high_03|high_04|high_05|high_07|high_08|high_09|high_11|high_12|high_13|high_14|high_16|high_18|high_19|high_20,0|1|2|3|4|6|7|8|10|11|12|13|15|17|18|19,0.01391975861042738
high,4,high_ep4.safetensors,24,42,16,high_01|high_02|high_04|high_05|high_06|high_07|high_09|high_10|high_11|high_12|high_14|high_15|high_17|high_18|high_19|high_20,0|1|3|4|5|6|8|9|10|11|13|14|16|17|18|19,0.0170101597905159
