domain,epoch,kid_mean,kid_std,checkpoint,kid_bootstrap_seed,kid_bootstrap_repeats,kid_subset_size
high,2,0.023247434981167315,0.0027820815212766794,high_ep2.safetensors,42,50,16
high,4,0.01545726165175438,0.004542164160955849,high_ep4.safetensors,42,50,16
high,6,0.015653484095819296,0.00733918495975329,high_ep6.safetensors,42,50,16
high,8,0.02702602880075574,0.007278062939782953,high_ep8.safetensors,42,50,16
high,10,0.016787259560078382,0.004871728046241677,high_ep10.safetensors,42,50,16
high,12,0.016978634409606456,0.004344521111547224,high_ep12.safetensors,42,50,16
high,14,0.0032606643968028947,0.005342879273026286,high_ep14.safetensors,42,50,16
high,16,0.006479681189521216,0.004684277034030829,high_ep16.safetensors,42,50,16
high,18,0.006737358895479701,0.004264334435813005,high_ep18.safetensors,42,50,16
high,20,-0.000355364316055784,0.0038793424453113967,high_ep20.safetensors,42,50,16
