domain,epoch,checkpoint,bootstrap_iter,bootstrap_seed,subset_size,sampled_case_ids,sampled_indices,kid
low,2,low_ep2.safetensors,1,42,16,low_01|low_02|low_03|low_04|low_05|low_06|low_09|low_10|low_12|low_13|low_14|low_16|low_17|low_18|low_19|low_20,0|1|2|3|4|5|8|9|11|12|13|15|16|17|18|19,0.0321166068315506
low,2,low_ep2.safetensors,2,42,16,low_03|low_04|low_05|low_06|low_07|low_08|low_09|low_10|low_11|low_13|low_14|low_15|low_16|low_17|low_19|low_20,2|3|4|5|6|7|8|9|10|12|13|14|15|16|18|19,0.06785748153924942
low,2,low_ep2.safetensors,3,42,16,low_01|low_02|low_03|low_05|low_06|low_08|low_10|low_11|low_12|low_13|low_14|low_15|low_16|low_17|low_19|low_20,0|1|2|4|5|7|9|10|11|12|13|14|15|16|18|19,0.03616364672780037
low,2,low_ep2.safetensors,4,42,16,low_01|low_02|low_04|low_05|low_06|low_07|low_08|low_09|low_10|low_11|low_12|low_13|low_16|low_18|low_19|low_20,0|1|3|4|5|6|7|8|9|10|11|12|15|17|18|19,0.04557722061872482
low,2,low_ep2.safetensors,5,42,16,low_01|low_02|low_03|low_05|low_06|low_07|low_08|low_09|low_10|low_11|low_12|low_13|low_17|low_18|low_19|low_20,0|1|2|4|5|6|7|8|9|10|11|12|16|17|18|19,0.031225893646478653
low,2,low_ep2.safetensors,6,42,16,low_02|low_03|low_04|low_05|low_06|low_08|low_09|low_10|low_11|low_12|low_14|low_16|low_17|low_18|low_19|low_20,1|2|3|4|5|7|8|9|10|11|13|15|16|17|18|19,0.049127329140901566
low,2,low_ep2.safetensors,7,42,16,low_01|low_02|low_03|low_04|low_05|low_06|low_08|low_10|low_11|low_12|low_13|low_14|low_15|low_16|low_17|low_18,0|1|2|3|4|5|7|9|10|11|12|13|14|15|16|17,0.04773252457380295
low,2,low_ep2.safetensors,8,42,16,low_01|low_02|low_04|low_06|low_07|low_08|low_09|low_10|low_11|low_12|low_13|low_16|low_17|low_18|low_19|low_20,0|1|3|5|6|7|8|9|10|11|12|15|16|17|18|19,0.046064119786024094
low,2,low_ep2.safetensors,9,42,16,low_01|low_02|low_03|low_04|low_05|low_06|low_08|low_09|low_10|low_12|low_14|low_16|low_17|low_18|low_19|low_20,0|1|2|3|4|5|7|8|9|11|13|15|16|17|18|19,0.037655748426914215
low,2,low_ep2.safetensors,10,42,16,low_01|low_02|low_03|low_04|low_05|low_06|low_08|low_09|low_10|low_13|low_14|low_15|low_16|low_17|low_18|low_19,0|1|2|3|4|5|7|8|9|12|13|14|15|16|17|18,0.0349038802087307
low,2,low_ep2.safetensors,11,42,16,low_02|low_03|low_04|low_05|low_06|low_07|low_08|low_09|low_11|low_13|low_14|low_15|low_16|low_17|low_18|low_20,1|2|3|4|5|6|7|8|10|12|13|14|15|16|17|19,0.06570562720298767
low,2,low_ep2.safetensors,12,42,16,low_01|low_04|low_06|low_07|low_08|low_09|low_10|low_11|low_12|low_13|low_14|low_15|low_16|low_18|low_19|low_20,0|3|5|6|7|8|9|10|11|12|13|14|15|17|18|19,0.06467271596193314
low,2,low_ep2.safetensors,13,42,16,low_01|low_02|low_03|low_05|low_07|low_08|low_09|low_10|low_13|low_14|low_15|low_16|low_17|low_18|low_19|low_20,0|1|2|4|6|7|8|9|12|13|14|15|16|17|18|19,0.02998853474855423
low,2,low_ep2.safetensors,14,42,16,low_01|low_02|low_05|low_06|low_07|low_08|low_09|low_10|low_11|low_12|low_13|low_14|low_15|low_17|low_18|low_20,0|1|4|5|6|7|8|9|10|11|12|13|14|16|17|19,0.037888266146183014
low,2,low_ep2.safetensors,15,42,16,low_01|low_02|low_04|low_05|low_06|low_08|low_09|low_11|low_12|low_13|low_14|low_15|low_16|low_17|low_19|low_20,0|1|3|4|5|7|8|10|11|12|13|14|15|16|18|19,0.0418529212474823
low,2,low_ep2.safetensors,16,42,16,low_01|low_02|low_04|low_05|low_06|low_07|low_08|low_10|low_11|low_12|low_13|low_14|low_15|low_17|low_18|low_19,0|1|3|4|5|6|7|9|10|11|12|13|14|16|17|18,0.03569738566875458
low,2,low_ep2.safetensors,17,42,16,low_01|low_02|low_04|low_05|low_06|low_07|low_08|low_09|low_10|low_11|low_12|low_13|low_15|low_17|low_19|low_20,0|1|3|4|5|6|7|8|9|10|11|12|14|16|18|19,0.037146829068660736
low,2,low_ep2.safetensors,18,42,16,low_02|low_03|low_04|low_05|low_06|low_07|low_08|low_09|low_10|low_11|low_13|low_14|low_15|low_18|low_19|low_20,1|2|3|4|5|6|7|8|9|10|12|13|14|17|18|19,0.05223752185702324
low,2,low_ep2.safetensors,19,42,16,low_02|low_03|low_04|low_06|low_07|low_08|low_09|low_10|low_11|low_12|low_13|low_14|low_17|low_18|low_19|low_20,1|2|3|5|6|7|8|9|10|11|12|13|16|17|18|19,0.05256732925772667
low,2,low_ep2.safetensors,20,42,16,low_02|low_04|low_05|low_06|low_07|low_08|low_09|low_10|low_11|low_12|low_13|low_14|low_15|low_16|low_17|low_18,1|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,0.05355935916304588
low,2,low_ep2.safetensors,21,42,16,low_03|low_04|low_05|low_06|low_07|low_09|low_10|low_11|low_12|low_13|low_14|low_15|low_16|low_18|low_19|low_20,2|3|4|5|6|8|9|10|11|12|13|14|15|17|18|19,0.05945109203457832
low,2,low_ep2.safetensors,22,42,16,low_02|low_03|low_05|low_06|low_07|low_09|low_10|low_11|low_12|low_14|low_15|low_16|low_17|low_18|low_19|low_20,1|2|4|5|6|8|9|10|11|13|14|15|16|17|18|19,0.03835396096110344
