domain,epoch,kid_mean,kid_std,checkpoint,kid_bootstrap_seed,kid_bootstrap_repeats,kid_subset_size
low,2,0.047128142192959785,0.0095642347759502,low_ep2.safetensors,42,50,16
low,4,0.03380951203405857,0.0065126489851786646,low_ep4.safetensors,42,50,16
low,6,0.01645536975003779,0.005721026215311981,low_ep6.safetensors,42,50,16
low,8,0.023296323735266924,0.0065652522527379275,low_ep8.safetensors,42,50,16
low,10,0.01287169531919062,0.006424524973350092,low_ep10.safetensors,42,50,16
low,12,0.005763881184248021,0.004433323277006692,low_ep12.safetensors,42,50,16
low,14,0.00956271353410557,0.0050475394444070175,low_ep14.safetensors,42,50,16
low,16,0.008326625266636255,0.004813809775570703,low_ep16.safetensors,42,50,16
low,18,0.010524191576987505,0.005143209003940968,low_ep18.safetensors,42,50,16
low,20,0.01241834114305675,0.004757842028837897,low_ep20.safetensors,42,50,16
